row,reason
"{'rotten_tomatoes_link': 'm/1019641-splash', 'movie_title': 'Splash', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'PG', 'genres': 'Comedy, Science Fiction & Fantasy, Romance', 'directors': 'Ron Howard', 'authors': 'Bruce Jay Friedman, Babaloo Mandel, Lowell Ganz, Brian Grazer', 'actors': ""Tom Hanks, Daryl Hannah, John Candy, Eugene Levy, Dody Goodman, Shecky Green, Richard B. Shull, Bobby Di Cicco, Howard Morris, Tony DiBenedetto, Patrick Cronin, Charles Walker, David Knell, Jeff Doucette, Charles Macaulay, Royce D. Applegate, Tony Longo, Nora Denney, Ronald F. Hoiseck, Lou Tiano, Joe Grifasi, Rance Howard, Corki Grazer, Fred Lerner, David Lloyd Nelson, Al Chesney, Lowell Ganz, James Ritz, Maurice Rice, Babaloo Mandel, Pierre Epstein, Cheryl Howard, Louisa Marie, Valerie Wildman, Christopher Thomas, Richard Dano, Clint Howard, Ron Kuhlman, Lori Kessler, Joe Cirillo, Tom Toner, Lee Delano, Migdia Varela, Jack Denton, Nick Cinardo, Fil Formicola, Than Wyenn, Clare Peck, Jason Late, Darryl Edwards, Shayla MacKarvich, Eileen Saki, Nick D'Elia, David Kreps, Bill Smitrovich, Jack Hallett, Nancy Raffa, Daryl Edwards, Amy Ingersoll, Jeffrey Dreisbach, Victoria Lucas, Jodi Long"", 'original_release_date': '1984-03-09', 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Touchstone Pictures', 'tomatometer_status': nan, 'tomatometer_rating': nan, 'tomatometer_count': nan, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 8, 'tomatometer_fresh_critics_count': 39, 'tomatometer_rotten_critics_count': 4, 'ID_RT': 740}",no rating
"{'rotten_tomatoes_link': 'm/1106108-hamlet', 'movie_title': 'Hamlet', 'movie_info': ""After the murder of his father, young aristocrat Hamlet (Campbell Scott) plots to have his stepfather, Claudius (Jamey Sheridan), punished for the crime while protecting his mother, Gertrude (Blair Brown), from her new husband. Meanwhile, Claudius' scheming adviser, Polonius (Roscoe Lee Browne), struggles with his son, Laertes (Roger Guenveur Smith), and increasingly psychotic daughter, Ophelia (LisaGay Hamilton). This adaptation transfers the action to the turn-of-the-century United States."", 'critics_consensus': 'While its staging is more competent than revelatory, Hamlet offers a nuanced lead performance from actor/director Campbell Scott.', 'content_rating': 'NR', 'genres': 'Drama, Television', 'directors': 'Campbell Scott, Eric Simonson', 'authors': 'Eric Simonson, Campbell Scott', 'actors': ""Campbell Scott, Blair Brown, Roscoe Lee Browne, Lisa Gay Hamilton, Roger Guenveur Smith, Jamey Sheridan, Marcus Giamatti, John Benjamin Hickey, Michael Imperioli, Byron Jennings, Maureen Anderman, Dan Moran, Denis O'Hare, Jim Gaffigan, Sam Robards, Earl Hindman, Christina Kirk, Bill Buell, J.C. MacKenzie, David DeBesse, Madison Arnold, John Campion, Lewis Arlt, Christopher Even Welch, Caroline Kava, Marin Hinkle, Leon Addison Brown, Seth Barrish, Lynn Hawley, Tina Benko, Matt Malloy, Robert Simonton, Elisa Hurt, Eric Simonson, Guy Davis, Peter McRobbie, Ryan Carey, Clark Carmichael, Jillian Crane, Ramon De Ocampo, Gary DeMichele, Peck Allmond, Joan Campion, Steve Berger"", 'original_release_date': '2000-12-10', 'streaming_release_date': '2017-01-25', 'runtime': 178.0, 'production_company': 'Hallmark Entertainment', 'tomatometer_status': 'Fresh', 'tomatometer_rating': 70.0, 'tomatometer_count': 10.0, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 4, 'tomatometer_fresh_critics_count': 7, 'tomatometer_rotten_critics_count': 3, 'ID_RT': 1343}",duplicate title+year
"{'rotten_tomatoes_link': 'm/1194870-poisoned_by_polonium_the_litvinenko_file', 'movie_title': 'Bunt. Delo Litvinenko (Poisoned by Polonium: The Litvinenko File) (Rebellion: The Litvinenko Case)', 'movie_info': ""If Tom breaks one more thing he'll get thrown out."", 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Documentary, Special Interest', 'directors': 'Andrei Nekrasov', 'authors': 'Olga Konskaya, Andrei Nekrasov', 'actors': 'Alexander Litvinenko, Marina Litvinenko, Anna Politkovskaya, Andrei Nekrasov, André Glucksmann, Boris Berezovsky, Andrei Lugovoi, Vladimir Putin', 'original_release_date': '2007-05-26', 'streaming_release_date': '2005-10-25', 'runtime': 9.0, 'production_company': 'Kino International Corp.', 'tomatometer_status': nan, 'tomatometer_rating': nan, 'tomatometer_count': nan, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 7, 'tomatometer_fresh_critics_count': 7, 'tomatometer_rotten_critics_count': 4, 'ID_RT': 1665}",no rating
"{'rotten_tomatoes_link': 'm/2050', 'movie_title': '2050', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Comedy, Drama, Science Fiction & Fantasy', 'directors': 'Princeton Holt', 'authors': 'Brian Ackley', 'actors': 'Dean Cain, Stormi Maya, Stefanie Bloom, Devin Fuller, Irina Abraham, David Vaughn, Hope Blackstock, Jonathan Ercolino, Jace Nicole, Shannon Holt, Chris Riquinha, Billy Marshall, Jr., Billy Marshall, Jr, Jor elJordan, Gregory Rawrysz, Ben Bott, Ben Bott, Merrill Joseffer, Lamar Smith, Quincy Giles, Jerry Hebrank, Vinson Adam', 'original_release_date': '2019-02-22', 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Be Your Own Hollywood', 'tomatometer_status': nan, 'tomatometer_rating': nan, 'tomatometer_count': nan, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 1, 'tomatometer_fresh_critics_count': 1, 'tomatometer_rotten_critics_count': 4, 'ID_RT': 1914}",no rating
"{'rotten_tomatoes_link': 'm/30_miles_from_nowhere', 'movie_title': '30 Miles from Nowhere', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Comedy', 'directors': 'Caitlin Koller', 'authors': 'Seana Kofoed', 'actors': 'Carrie Preston, Robert Patrick Benedict, Rusty Schwimmer, Cathy Shim, Marielle Scott', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Film Camp Productions', 'tomatometer_status': 'Fresh', 'tomatometer_rating': 80.0, 'tomatometer_count': 10.0, 'audience_status': 'Spilled', 'audience_rating': 36.0, 'audience_count': 100.0, 'tomatometer_top_critics_count': 0, 'tomatometer_fresh_critics_count': 8, 'tomatometer_rotten_critics_count': 2, 'ID_RT': 1962}",invalid or missing year
"{'rotten_tomatoes_link': 'm/adam_sandler_100_fresh', 'movie_title': 'Adam Sandler: 100% Fresh', 'movie_info': nan, 'critics_consensus': 'An energetic Sandler jumps back into the spotlight with fresh songs, stories, and spoofs in Adam Sandler: 100% Fresh, a wonderful return to form for a beloved comedian.', 'content_rating': 'NR', 'genres': 'Comedy', 'directors': nan, 'authors': nan, 'actors': 'Adam Sandler', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': 'Certified-Fresh', 'tomatometer_rating': 90.0, 'tomatometer_count': 20.0, 'audience_status': 'Upright', 'audience_rating': 91.0, 'audience_count': 715.0, 'tomatometer_top_critics_count': 8, 'tomatometer_fresh_critics_count': 18, 'tomatometer_rotten_critics_count': 2, 'ID_RT': 2333}",invalid or missing year
"{'rotten_tomatoes_link': 'm/ali_wong_baby_cobra', 'movie_title': 'Ali Wong: Baby Cobra', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Comedy', 'directors': 'Jay Karas', 'authors': nan, 'actors': 'Ali Wong', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': 'Fresh', 'tomatometer_rating': 100.0, 'tomatometer_count': 9.0, 'audience_status': 'Upright', 'audience_rating': 79.0, 'audience_count': 28.0, 'tomatometer_top_critics_count': 3, 'tomatometer_fresh_critics_count': 9, 'tomatometer_rotten_critics_count': 0, 'ID_RT': 2485}",invalid or missing year
"{'rotten_tomatoes_link': 'm/ali_wong_hard_knock_wife', 'movie_title': 'Ali Wong: Hard Knock Wife', 'movie_info': nan, 'critics_consensus': 'Ali Wong emerges a mother still perturbed in Hard Knock Wife, a hilariously honest hour of comedy that highlights the joys and oh boys of motherhood with fearless energy and just the right amount of squirmy detail.', 'content_rating': 'NR', 'genres': 'Comedy', 'directors': 'Jay Karas', 'authors': 'Ali Wong', 'actors': 'Ali Wong', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Netflix', 'tomatometer_status': 'Certified-Fresh', 'tomatometer_rating': 100.0, 'tomatometer_count': 20.0, 'audience_status': 'Upright', 'audience_rating': 69.0, 'audience_count': 191.0, 'tomatometer_top_critics_count': 7, 'tomatometer_fresh_critics_count': 20, 'tomatometer_rotten_critics_count': 0, 'ID_RT': 2486}",invalid or missing year
"{'rotten_tomatoes_link': 'm/alone_2018', 'movie_title': 'Alone (Solo)', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'NR', 'genres': 'Action & Adventure, Art House & International, Drama, Romance', 'directors': 'Hugo Stuven', 'authors': 'Hugo Stuven, Santiago Lallana', 'actors': 'Alain Hernández, Aura Garrido, Ben Temple, Leticia Etala', 'original_release_date': nan, 'streaming_release_date': nan, 'runtime': nan, 'production_company': nan, 'tomatometer_status': 'Fresh', 'tomatometer_rating': 75.0, 'tomatometer_count': 8.0, 'audience_status': 'Spilled', 'audience_rating': 50.0, 'audience_count': 20.0, 'tomatometer_top_critics_count': 2, 'tomatometer_fresh_critics_count': 6, 'tomatometer_rotten_critics_count': 2, 'ID_RT': 2576}",invalid or missing year
"{'rotten_tomatoes_link': 'm/american_flyers', 'movie_title': 'American Flyers', 'movie_info': nan, 'critics_consensus': nan, 'content_rating': 'PG-13', 'genres': 'Action & Adventure, Drama', 'directors': 'John Badham', 'authors': 'Steve Tesich', 'actors': 'Kevin Costner, David Grant, Rae Dawn Chong, Alexandra Paul, Janice Rule, Luca Bercovici, Robert Townsend, John Amos, Doi Johnson, John Garber, Jennifer Grey, James Terry, Jessica Nelson, Tom Lawrence, Brian Drebber, Judy Jordan, Katherine Kriss, Jan Speck, Greg Walker, Sig Frohlich, John J. Caraccioli, Barbara Hinchcliffe, Robert Anderson, Peter Boyles, K.C. Carr, Martin Chenoweth, Jim Flanagin, Steven Burch, Kate Sullivan, Christine Blackwell, Michael Harshberger, Craig Manning, Brad Peterman, Christopher Ziesmer, Eddie Merckx', 'original_release_date': '1985-08-16', 'streaming_release_date': nan, 'runtime': nan, 'production_company': 'Warner Home Video', 'tomatometer_status': nan, 'tomatometer_rating': nan, 'tomatometer_count': nan, 'audience_status': nan, 'audience_rating': nan, 'audience_count': nan, 'tomatometer_top_critics_count': 4, 'tomatometer_fresh_critics_count': 13, 'tomatometer_rotten_critics_count': 7, 'ID_RT': 2638}",no rating
